comment
" 정령탄 과금에 없으면 사냥안될듯?, "
" 팡울산 운영은  니가 판단하는거고  니 입장에서 안그런가????   게임사가 자산 사업가들도  아니고 게임사가 세운 원칙에 의해서  운영하고 있는거지  다른 게임은  과금유도 없어도 지금  모바일 및 피씨에서 나오는 게임들이 하루에도 몇개씩 사라지고 나오고 하는데  2년 넘게 플스 1위 지키고 있으면 말다한거 아닌가? 앞으로 엔씨에서 나올  리니지2같은거  아니면  앞으로 최소 1년 이상은  1위 지킬꺼 같은데  그리고 동접자수도 리니지엠을  압도할만한 게임도 없고 그럼 과금 유도 유무를 떠나서  다른 게임업체관련자들이  반성해야 되는거 아님? 과금 유도가 없어 재미있게 사람이 많다면  그관리  인원이며 서버비용이며  이런거 누가 다 주나?  결국 관리인원과 부가비용이 늘어나면 결국 과금유도가 없던 게임도 그비용을 충당하기 위해서 유도할걸  그러다 망하는거고 생각을 해봐 니네집  앞에 장사가 잘되는  치킨집이있어 아주 착한가격은 1만원짜리   근대 장사가 너무너무 잘되서 배달직원 주방이모 등등  인원을 더 썼어  그랬더니  이윤이 안남는거야??? 그러면  니가 오너입장이면  어쩌겠냐?????? 당연히 가격을 올리겠지???  단돈 500원이라도 이해가 되니? 이렇게  쉽게 말했는데도 이해를 못하면 절대  사업이나 장사는  하지말아라  100프로 말아먹는다, "
" leesnandjun 리니지 잘 만들었죠 자유도 높은 mmorpg입니다. 장점은 분명이 있죠..운영은 각자가 판단 하겠죠 님 말대로..그래서 리니지가 좋은 게임이다? 현 시점에서? 글쎄요......, "
" 카르페디엠  ????   좋은게임이다????  갑자기 어디서 나온건지???  과금유도 잘하게 만든 게임이라는 거지 좋은 게임이라  생각 안하는데 좋고 나쁘고는  개인의 취향이지 굳이  개인의  생각으로 좋고 나쁘고는  판단하기 힘들고 잘만든 게임이 좋은게임은 아니죠 공부잘한다고 머리좋은거 아니죠 머리가 안좋아도 노력해서 전교1등할수 있는겁니다 리니지란 게임은  그냥 사람의  심리를 잘 이용하고 나름 스토리와 추억등으로 과금유도하게 한거죠, "
" @leesnandjun 잘만든게임이 운영으로 인해서 좋지 않은 게임이 될 수 있죠. 그런데 님 갑자기 어디서 나온거지? 이런 멘트는 왜 붙이는지 모르겠군요.? 예로 드신 부분도 조금 이해 안됩니다.. 공부잘한다고 머리좋은거 아니다? 머리 좋다라는 기준은 뭐죠? 암기력이 좋아도 머리좋다고 해요 ㅋ  창의력이 좋아도 머리 좋다고 하구요 머리 나빠도 노력만 해서 전교 1등 된다라는 논리는 무슨 근거가 있나요? ㅋㅋ  상당히 개인적인 생각으로 막 말하시네.., "
" くにお 리니지가 대체 어느게임  소스받아서 만든건지 팩트좀 써주실래요???? 또 리니지  리니지2 같은 게임이 어디에서  만든건지 팩트좀요  네이버에 검색만  해도 나오는걸  엔씨를  배급 게임사인줄 아네 ㅡㅡ 그냥 뇌에서  나오는데로  쓰지마시고 뭐 자료라도  보여줘   그냥 싸지른다고  다 되는거 아님, "
" 몇천날려봐야 정신차림도박판에 가는 그누구도 지가 돈잃는다는 생각은 안함 딸줄알지근데 알고 보면 그구역 호구는 당신들임, "
" 왜요?, "
" leesnandjun  2년 연봉 정도 꼬라박고 나중에 정신차려보니 이건 아니다 싶어서 겨우겨우 가챠 똥망게임에서 빠져나왓다.2년 연봉이 문제가 아니라 그사이 내사람들도 떠나갓다. 진심어린 충고도 듣지않앗고 잔소리라고 생각했더니 결국에는 그들이 떠나갓다. 이딴게임 진짜 하지마라 하면 할수록 니 인생이 날라간다, "
" @이상희 와 역시엔씨가돈은잘번다는거네요.., "
" 음...그닥 땡기지 않네요.왜냐? 엔씨니까요ㅋㅋ, "
" 정령탄 캐쉬 100프로, "
" 너무 그러지맙시다..., "
" 돈쳐받앗나보네 입금완료 안보이아나~, "
" 어디서 이모탈 냄새가ㅋㅋㅋ, "
" 뭐 모바일 씹어먹든 별 관심없다 어처피 안하니깐 아재들 지갑이나 빨아먹던가.. 근데 그 도박중독자 아재들때문에 왜 내가 다양한 게임을 즐기고 싶은데 국내에서는 게임을 못즐기냐? 왜 내가 도박중독자 아재들때문에 똑같은 게임들만 있어서 게임 선택권을 뺏겨야 하냐?? 왜 내가 도박중독자 아재들때문에... 하아....., "
" 과금유도 예측해봅니다 여러분은?, "
" 나오지도 않은게임 존나 빨아제끼네~~, "
" 그리고 최강 현질유도 엔씨의 문제는 무과금은 누릴수없는 컨텐츠가 있다는거임 리니지m보면  그흔한 변신도 무과금은 해볼수도없는 변신이..., "
" 무료게임즐기면서 왜케징징거려 ㅂㅅ같노ㅡㅡ 불만이면 안하면되지 ㅅㅂ엔씨가 1,2년가려고 리니지m 출시햇냐? 5년도 똑바로안해보고 존나질질짜네 그새키, "
" @번개빛 ㅋㅋ 답이없는 놈이네 pc부터10년 넘게했었고 너보다쓸만치 더쓴다 단지 한두푼으로 못즐기는게 사실이고 비정상적과금인건 다아는 사실인데 왜 개거품물고그래 넌해임마, "
" @김진수 이해잘못하시나바요 어느정도의 돈만투자하고도 노력으로 얻어지는 pc와 지금 m변신이 같은수준이라고 하시는건가요?? 사냥으로 득템이라는게 없는 수준인걸요, "
" @김진수 님이말하는건 리니지pc끝물때죠 린지pc가 초창기부터 13년정도까지는 그래도 노력으로 커버가 가능한게임이였어요 님이말하는건 과금 밥먹듯 유도할때이야기고 고정 아재들만 남아나기시작할때자나요 지금은 그냥출시부터 아재만 노리고가는 수준의 과금 정도인대요 20년지난 pc막바지만 놓고 비교하지마셔야지요, "
" @김진수 솔직히 돈벌면서 2~3천은 투자해서 드다판매3차정도까지 할때는 라인할만했자나요 그후가 맞탱이가서 저도pc는 그후로 접었고 프리섭만했어요 근데 엠은 진짜아니에요 근데 그것도 린저씨들이 그만치때려박아주지만 린2는 그수준까지는 안간다는거죠 bj분들이야 투자해서 뽑아내니까 손익계산이 가능하다지만 일반인은 안그래요 pc때랑은 다르게 회수가 안돼죠 제가말하던 pc의 기준은 귀속템으로 아이템캐쉬팔아처먹기 시작할쯤 입니다. 저도 티랑반지 몇번은 했습니다, "
" 이Jaekyung 무슨말인지는 이해하겠음그럼 이만 글삭하고감, "
" @이Jaekyung 인정 나 중학생때 말섬  장로에서 반지나와서 그거 피시방사장한테 한달정액권이랑 현금 30 에 판게 기억남 그때만해도 머먹으면 수급이되는데 지금은..휴, "
" 귀속 없애고 모든템 개인간 거래 가능하게 하면 투자한만큼 회수도 되고 좋을것 같은데..., "
" 어차피 오토게임, "
" 영상 텔포 부분에서 오오!!했다 딱 거기까지, "
" 고갱님 렉없이 레이드 공성전하시려면 5g는 기본입니당, "
" 무과금의 맛보기를 보여주리다, "
" 저거나오면 지금있는 모바일들 죄다 쩌리되는거아닌가?????물론 그래픽으로....., "
" 최강 성능의 핸드폰을 사야하나 ㅋㅋ, "
" 에혀.. 게임그래픽 자신잇엇으면 전투영상으로 가득채웠겠지, "
" NC라서 과금정책이 좀 무섭긴한데...솔직히 얘네가 게임자체는 꽤 잘만들기는 하지 문제는 과금정책이 너무 심각하게 P2W에 치중된 정책이라서 건드리기 난해하다는 정도. 솔직히 차라리 월정액같은걸로 나오면 월정액 끊어가면서라도 해볼생각은 있는데 게임이 재미만 있으면., "
" 갤럭시 시리즈도 아니고 단물빠지면 2M 3M시리즈로 쭉가나, "
" 10월 리니지2 모르시나봐요 ㅋㅋ, "
" 인게임 영상은 하나도 안보이는데... 어떻게 그래픽이 좋다고 말할 수 있는건지 전혀 모르겠습니다, "
" 끝까지 봄? 아니면 눈이 없나? 인게임 영상 나오는데?, "
" 저게 인게임임.... 유저시점이 아니라 개발자 카메라시점이라 그렇지, "
" 그래픽은 검사 따라잡는 겜 없음, "
" 그래픽 오진다는거 돌려 말하는거임??ㅋㅋㅋㅋ, "
" 노트8 최상옵이 돌아가긴 할지...검사모는 최상옵으론 잘되긴하는데 저 그래픽보고 폰이 돌아갈까 걱정.., "
" 평소랑 다른 리뷰 ㅎㅎㅎ/ 내년 나올떄 쯤에 공기계 하나 장만 해야하나요 ㅋ, "
" nc가 좋은퀄리티 좋은게임 만들수있는 기술력을 갖춘게임사이지만.... 너무 돈..돈..돈이 문제...참... 안타깝다진짜, "
" 또 이걸로 돈버나요??, "
" 믿거엔, "
" 다크휴먼, "
" 저렇게 자신있으면 리니지2리마스터로 피씨로 내야지 모바일로 낸다는건? ㅋㅋ 무조건믿고거릅니다. 그래픽이좋으면 머함? 돈없으면 못하고 빈부격차 쩔텐데 ㅋㅋ. 그리고 이번영상 제이 돈받은듯 ㅋ, "
" 응 꺼져 댓글질하는거부터 ㅂㅅ이란소리야 그냥꺼져 ^^, "
" @번개빛 달빛님이 맞는말 하는데요?ㅋㅋㅋㅋㅋㅋㅋㅋ  광고든 아니든  엔사는 모바일로 돈맛 확실히 봤으니  저딴것도 내는 거지, "
" @번개빛 주모 여기 ㅂㅅ 하나 추가요, "
" 번개빛 = 개돼지, "
" 다 나와요~ 리니지1 리마스터 나오고~ 아이온2도 나오고 피시용 모바일용 다 나옵니다.... 근데 과금유도는 정부에서 어느정도 막아줘야함 끝도없음~, "
" 과금유도성과 과금 치중이 많으면 안좋지만 돈쓰면 당연히 좋아져야하는거 아님? 최종 템하나 만드는데 좀 과장해서 10년걸린다고 치면 과금 좀 해서 그 시간 줄이는게 더 이득아님? 무슨 우리가 게임하기 위해 태어난것도 아닌데 시작도 안해보고 어짜피 과금 쩔겠지 이러면서 악플성 글쓰는건 게임을 정말 사랑하고 애정하는 입장에서 눈쌀찌푸려지네요 그리고 세상 정치인들도 못잡는 빈부격차를 게임이라고 잡을수 있다고 생각하나본데 그건 인간이 할수 있는일이 아님 만약 님이 직접 그 방안이나 개발하면 제가 감히 장담하는데 님 평화 노벨상 이후로 최초로 노벨상 받는 사람될수있어요, 근데 못한다면 다음부터 생각이란걸 좀 하고 말이나 글 씁시다. 제가 다 안타까워서 그래요, "
" 개새낑  지금  누구  집에 앉아  컴터하고 자빠져있노?  머리에  똥 찻니?, "
" 어차피 돈 있는 사람 육고기방패일뿐...ㅋㅋ돈 1억 이상 처바를 사람빼곤 그냥 방송으로 즐기는게 낫다..몇백으론 겜 못함.엔씨겜은.., "
" 아니 저렇게 고칠거면 pc로 내야지 스마트폰과금맛을본 nc는 양심을 또 스마트폰에, "
" 내말이.., "
" 광고스맬ㅎㅎㅎ, "
" 대  놓고  홍보질, "
" 모바일 게임을 pc로 구동 시키면 모를까 그래픽 수준은 어느정도 이상만 되면 아무 문제 없다고 생각합니다.  지금 보여준 정도의 퀄러티를 다 느끼려면 핸드폰 화면이 최소 20인치는 되야겠네요 ^^;   개인적으로 모바일 게임 제작시 그래픽의 디테일 보다는 더 좋은, 멋진 디자인을 하는 쪽으로 머리를 굴려야 한다고 생각합니다. 그리고 모바일 게임 특성상 '자동' 사냥,퀘,길 찾기등은 필수 라고 생각되는데, 이것들이 또 게임을 지루하게 만드는 요소들이기도 해서, 이런 것들을 어떻게 지루하지 않게 잘 유도 할지가 기대됩니다. 또한 전에 나왔던 리니지2 레볼루션도 엄청나게 잘나온 편이라, 리니지2M이 레볼과는 또 어떤 차별화를 둘지도 궁금군요.아무튼 빨리만 나왔으면 좋겠네요. ㅎㅎ, "
" 절대만두 요즘 다 모모로하니깐 그걸대비해서 만들었겠죠, "
" 아무리 게임 좋아도 돈질 게임은.그냥.쓰레기임  드워프.없은거 보소 ㅋㅋ  한마디로 아템.제작 정령탄 현질하라는 말인데 이런 쓰레기 게임  좋다고 이야기 할수 있나?  게임 보는게. 내 인식이랑  제이님  보는 시각이 넘 차이.나는듯.ㅋ   진짜 이것만 봐도 쓰레기 게임인걸 눈에 보이는구나  구독 취소 하고 갑니다, "
" 엔씨 개시른데 요번꺼는 대박이네요 리니지2는 바츠서버하셔야합니다 그게꿀잼입니다, "
" ㅋㅋㅋㅋ 이거.딱봐도 정령탄  현질해야 사용하게 만들듯 ㅋㅋㅋ, "
" 뭐 그래픽 쩌는건 인정해야지.근데 엔씨야  ㅋㅋ, "
" ㅋㅋㅋ 이거 또ㅜ현질 많이 하면 지존돼는 게임  진짜 모바일은 월정액.게임 안나오나?, "
" 현질 유도 개 오질텐데 ㅋㅋㅋ, "
" 야 먹고살아야지 모른척 넘어가자, "
" 제이 이번리뷰는 수상한네 제이 스타일이라면 이번에 나온 오크모바일마냥 바로 믿고 거르실분인데, "
" 와...그래픽, "
" 신규 캐릭은 뭔가 바드 같은 서폿 같은데, "
" 패망게임 아닌가요? 무슨 소리지 ㅋㅋ, "
" y un 패망게임이라뇨 ㅎㅎ 리니지2만큼 따라올게임이없었죠 리니지빼고, "
" 제이님 부탁하나 드려도 될까요????????????????창세기전리뷰부탁드려도될까요??리뷰부탁해요!!!!, "
 창세기전 리뷰
" 제이 돈받았나..?, "
" 문제는 저래 만들고 패키지,, "
" 폰게임 퀄리티 엄청 높아지네 ㄷ ㄷ ㄷ ㄷ 이눔아 폰이 한두분이냐구 ㅠㅠ와 피씨처럼 새폰을 자주 갈아타는 시대 왔다는게 느껴지네요 ㄷ ㄷ ㄷ ㄷ ㄷ종족 다 나온다는 애기네요 클레스 많이  나온다고 하니 아르테이아도 나오겠군..., "
" ㅋㅋㅋ 리니지는 어디까지나 진행은 계속 되는구나~ 잼있어야할덴데, "
" 왜이렇게 빠신데? 다른게임대비 별반 다를거 없어보이는데, "
" 3n은 믿고 걸러야.. 린m 망해가니까 린2m을 가지고오네 ㅋㅋㅋㅋㅋㅋㅋㅋ, "
" 돈받으셨나...? 진짜 이럴 사람이 아니신데... 보자마자 폰바꾼건 과장인가요ㅎ, "
" QOB  그러게 말이예요 19년에 신폰 나로면 바까도 충분 할텐데 수상하네요 멘트가, "
" 진짜 멘트 구데기같다, "
" @유재형  그러게요 하반기에 출시 한다는데 지금 폰 바꿔봐야 ...못할건데.., "
" 와.........스고이다.....( すごい, "
" 1, "
" 3만 구독자 이벤트!1등 닌텐도 스위치(35만원 상당)2등 외장하드 500T3등 게이밍 헤드셋구독 누르잣!ㅎㅎ, "
" 그래픽 좋네요 ㅎㅅ ㅎ 현질만심하지만않으면 갓게임되겠네요 ㅎㅎ, "
" 돈 받아 먹었나요?, "
" 광고죠?, "
" 광고라고쓰라 쓰바, "
" 돈받아먹었지?, "
" 잘봤습니다. 버러지 거지 급식들 걸러주는 엔씨가 최고죠, "
" 이 색야. 인게임 거의 없자너. 약파네, "
" 돈받고 광고하시는거죠?, "
" 이 색이 말도 안하고 광고 쳐하네대가는 구독취소, 싫어요, 광고 건너뛰기다.머리 나쁜 색휘, "
" 잘 보고 갑니다 근래 리니지2  복귀 해서 재미있게 하고 있었는데 모바일로 나온다니 ... 기대반 걱정반 이네요 리니지m  처럼  과도한 과금을 조성하게 된다면 추억으로 접하거나 새로운게임을 기대했던 분들은 다시 실망할거 같습니다. NC의 모바일 게임은 그들만에 리그 라고 다들 알고 있잖아요. 그래도 기대감이 좀더 많네요  출시하게되면 좋은 길잡이가 되어주세요, "
" 엔씨겜은 하는게아니라고 배웠습니다 보는거라고, "
" 린m보다 과금 더하면 더했지 못하진 않을듯~변신은 당연 있을꺼고 아가시온은 인형 개념이니 전부다 뽑기지.하는 넘이 개돼디호구, "
" 넷마블 넥슨 엔씨는 믿고 거르는 게임, "
" 앙 치우띠 아덴섭에서 빤스런했는데 지금 쟁 구도 자켄에서 꿀잼각나오니깐 복귀하세염, "
" 과금 린m이랑 비슷한 수준이면 안해야지 린m에 2천마넌정도쓰고 게임에 이만큼 쓰고나니 나중에 자괴감들더라 ㅋㅋ, "
" 당연히 잘만들었겠지...운영이 문제지만, "
" 제발 리닞엠처럼만의 과금만 아니길..., "
" 모바일은  과금이 100%입니다, "
" 욕하면서 할거면서...나도 욕하면서 해야지...요번엔 불가능에 도전해봐야지무과금으로 도전~, "
" 그냥 돈지랄  할사람 만 하면 될듯, "
" 모바일인가요?, "
" 리니지1. 리니지2를 둘다 오랫동안 즐겨봤지만 과금유도를 할수 있는 게임은 리니지2가 훨씬 많아보임. 리니지1은 솔플위주의 게임이라면 리니지2는 파티위주의 게임이였음. 현재 리니지2라이브 각성서버의 경우엔 솔플로 전향되는 추세로 들었지만 리니지2는 원래 파티형 게임임. 엔씨가 과금유도를 적당히 할리는 없고 리니지m을 보더라도 과금요소가 엄청날것인데 리니지2를 재밋게 햇던 사람으로 2m이 출시가 되면 해보고는 싶지만 과연 파티형 게임에서 소과금 유저들이 제대로된 컨텐츠를 즐길수 있을지가 의문임., "
" 치우님 유트브도 하솄군요, "
" 이번 리지지2m?? 5천 정도 과금을 하려고합니다. 중과금정도 될듯하내요.. 1위는 넘사벽일듯하고 기냥 상위 100위안에 랭크되었으면 좋겠어요, "
" 헐... 5천이면 엄청나시네요 가성비 좋게 잘 셋팅해서 초반에 치고 나가면 되지 않을까요!?, "
" 정신챙겨요 ㅋㅋ, "
" 5천이요???? 오천만원이요?? 게임내에서의 오천을 말하시는건지 현실 오천을 말하시는건지 ㄷㄷ, "
" 제 주변 리니지 BJ들은 기본 1억정도 깔고 갑니다.?? 이번 리니지2에서? 1억이상 깔고 가시는분들이 몇분 계십니다., "
" 정신챙기세요, "
" 과금이 창렬인거는 기정 사실일껀데요 각종 한정 가챠상자 나올꺼고 거기에 아가시온 탈것 아인등등 한정패키지 리니지m에서 수익구조 그대로 같다 놓고 거기에 +@ 아덴서버 구조랑 비슷 하게 나올듯 정탄 돈주고 팔고 아인없으면 템안나오게 하고 ㅋㅋㅋ 8월 신규 도박장 오픈, "
" NC에게 좋은 운영은 기대를 안하지만.. 이미 길들여졌나봅니다.. 개돼지 ㅠㅠ.., "
" 올해 안 나옵니다.리니지와 함께 엔씨소프트를 대표하는 IP인 ‘블레이드앤소울’ 기반의 블레이드앤소울S에 대해서는 “블레이드앤소울S는 MMORPG지만 가벼운 스타일의 게임이다. 캐릭터들도 훨씬 귀엽다. 개발 속도로 보면 가장 빠르게 진행되고 있으며, 가을쯤 선보일 수 있다고 생각한다. 리니지2M보다 빠르게 출시될 것으로 예상한다.”고 설명했다., "
" 엔씨소프트가 모바일게임 ‘리니지2M’을 하반기, ‘블레이드앤소울S’는 가을경 출시할 예정이다.???엔씨소프트 윤재수 CFO는 10일 2019년 1분기 실적발표 컨퍼런스콜에서 “리니지2M은 하반기 출시를 목표로 개발 중이다. 현재까지 순조롭게 개발 중이며, 개발 진척 상황을 봤을 때 하반기 출시가 가능할 것으로 생각한다.”고 말했다.??이어 “리니지2M의 해외 출시가 먼저 이뤄질 가능성은 높지 않으며, 정확한 출시 일정은 확정되면 다시 말씀드리겠다.”라며 대략적인 출시 일정을 공개했다.기사 아래 내용만 따오셨네요 이왕 인용을 하실거면 같은 기사 위에 있는 내용도 같이 긁어 오셨어야 하지 싶습니다. ^^, "
" @치우TV 기사전체 내용을 같다붙히기엔 길어서 핵심으로 보이는 마지막 부분만 발췌한 것입니다. 17년에는 18년에 출시한다고 했다가 18년에는 19년 1분기에 출시한다고 발표했다가 막상 19년이되니 다시 하반기 출시목표라고 계속 미뤄왔습니다. 저도 하루빨리 출시되기만을 기다리고 있는 입장에서 하반기라고 하니 내심 빠르면 7~8월을 기대했는데 블소s가 먼저 나올거고 시기가 가을이다? 그럼 최소 겨울이라는 얘긴데 이러다 또 해넘기는거 아닌지 모르겠습니다. 님이 볼땐 기사 앞부분 내용이 큰 의미가 있다고 생각하고 인용한건가요? 제가 님을 깐것도 아닌데 왜 채널운영자가 시청자 댓글에 비아냥대는 ^^투로 다는지 모르겠군요, "
" @김인서 kim insuh 저는 친근한 말투로 정중하게 답글을 달아드렸습니다. 저는 악플을 남기시는 분들께도 한번도 비아냥거리거나 매너없는 댓글을 달아본적은 없습니다. 채팅이란 감정이 느껴지지 않기 때문에 이모티콘을 활용해서 자주 답변을 드리곤하는데 어떤 부분에서 비아냥거린다고 느끼신지 사실 잘 이해는 안되지만 그렇게 느끼셨다면 사과드립니다 ^^;, "
" ㅈㄴ 꼬였네 으휴 채널 보니 교회 다니는거 같은데 인성이 저러냐 ㅋㅋㅋ, "
" 겁나 꼬였네 ㅋㅋ, "
" 리2 온라인 베타부터 수년간 해왓고리니지2레볼까지 현재하고잇는데솔직히 기대1도 안됨겜영상만봐도 또 여왕개미 나오고 오만탑 자켄 바이움..., "
" 아.. ㅠ 아무래도 리니지2 PC하시던 분들은 모바일 그렇게 기대 안하시더라구요! 저는 모바일 게임을 좋아하다보니.. ^^; 그래도 기대중입니다!! 레볼루션 나왔을 때 해보고 리니지2랑 달라서 많이 실망했었거든요 PVP도 그렇고.. ㅎㅎ, "
" NC 가 NG 가 아니길, "
" 과금이 왕 ㅎ_ㅎ, "
" ㅠㅠ 과금 너무 헬입니다..!!, "
" 꿀꿀 월월, "
" 멍멍 크르르 엔씨의 개돼지들 입죠! ㅎㅎ, "
" 2빠ㅋ, "
" 3만 구독자 이벤트!\r1등 닌텐도 스위치(35만원 상당)\r2등 외장하드 500T\r3등 게이밍 헤드셋\r\r구독 좋아요 누르잣!ㅎㅎ, "
" 린2알못이네 길드라니 혈맹인데 그리고 혈맹은 혈렙을 올려야 인원을 늘릴수 있음 근위대 기사단 식으로 동맹도 있고, "
" 카마엘. 아르테이아 종족도 있는데.... 아 물론 각성 라이브섭 기준이지만요..., "
" 정탄 엔씨에서 팔거니까 워스미스 하지마라ㅋ희귀 제작 제료도 엔씨에서 팔거니까바운티헌터 하지마라 스포일 없이 나올지도 모름ㅋ, "
" 자체개발 아니면 검사는 넘사고 언리언은 한계임 ㅋㅋㅋ, "
" 3차전직이 나왔을때가 젤 잼있었음.. 그 이후로 직업들이 합쳐지면서 리니지2 매력이 싹다 사라짐,,, "
" 올해 안나옵니다, "
" 카발m도 확인부탁드립니다~~, "
" 혹시.또..최신폰만 게임할수있는건가요?, "
" 네크로맨서좋아보이네요ㅋ, "
" 정탄팔이나 해야지.근데 모바일은 피씨랑 많이 다를거같다고 봄., "
" 내 인생게임..린2 ㅋㅋㅋㅋ진짜기대된다 실버아님 스펠싱어지.ㅋㅋㅋ기대합니다 제이님도 늘 화이팅하세영, "
" 제이님아 요즘 리니지2 개인사냥하게 만든거 같아요  한번 알아봐 주세요~~~~  리니지2m이 예전같이 파티 사냥을 하던 시대 버전이면 저는 힐러를 하고 싶습니다, "
" 아르테이아, 카마엘은..?영상 속의 근접 법사는 아르테이아인가?그나저나 카디날 기대했는데 3차 전직은 없네, "
" 블댄!, "
" 혹시 또 기대하고 또 실망하실려고 합니까 ㅋㅋㅋㅋ, "
" 난 프로핏 할꺼야, "
" 진짜 겜 잘만드는거는 엔씨네, "
" 이거 설마 PC게임으로 나오는거 아니겠지ㅡㅡㅋ, "
" M 이라는 뜻 자체가 모바일인데 ;;, "
" 정탄팔이 손이요 ㅋㅋ, "
" 카마엘은 안나오고 신규 케릭이 나오려나보네요, "
" ㅋㅋ모바일?오토사냥  될듯하고전직이 3차까지 일꺼고 서브캐릭  될꺼고 템팔이로 할껀가 암튼 린m처럼 현질겜으로 안갓으면한다.ㅋ, "
" 정탄 바른 타격감은 아직도 다른 어떤 게임의 타격감보다 뛰어나다고 봅니다., "
" 항상 응원합니다^0^, "
" 신캐, "
" nc기대하는 흑우도 있습니까 중과금도 무과금으로 만드는 nc, "
" 드워프종족에 바운티헌터..기대중!, "
" 이건 무조건한다, "
" 리니지2m만기다리는중, "
" 트라하도 그래픽 좋아보였지만.. 결국 압축하면서 떨어지는 그래픽.. 사전예약 광고 시네마 영상으로 그래픽 판단하면 안될것 같아요, "
" 현질 ×32  걍   겜하다 디져라 수준이군, "
" 전 역시 탱커가 맞는듯 해요 ㅋㅋ탱커는 역시 휴먼 이겠죠??, "
" 린2는 다엘, "
" 도약1 빠 ㅋㅋ, "
" 리니지2m 리뷰를 보면 다들 두건쓰고 나온 여캐를 신규클래스로 보던데 이유가 궁금함... 내가 볼땐 신규클래스가 아니고 단순 페오군 이나 에오로군일거 같은데.... 리니지2 각성이전 직업들만해도 엄청나게 많음. 직업의 다양성을 위해 그리고 리니지2 pc버젼의 직업군 각성이 나온이후 폭망한 경험이 있어서 리니지2m에선 각성은 나오지 않거나 나오더라도 엄청나게 추후에 나올것같음., "
" 이것도 겜이라고 참, "
" 최재영 그래픽이나..게임적으로는 정말 잘 만들었죠..문제는 과금이 게임러를 개.돼지로 생각하고 만든겜이라 그게 문제죠, "
" 캐쉬템  나올건데 무슨 기대작이라고 적당히 빨아 대면 모를까 몇억 쓰게 만들겟지, "
" 하고싶어도 손대면 안되는게임... ㅎ, "
" 리니지 레볼루션은 넷마블이 운영합니다 넥슨 아니구요, "
" 그것은 알고있으나 말 실수를 한거같네요...ㅎ 무기 맥강까지하고 접었었는데ㅎ, "
" 더군다나 모바일이라 안할 이유가 없다고 하셨는데 모바일을 선호하시는 이유가 궁금합니다.저같은 경우는 모바일은 안하거든요. 혹시 덱스 이용해서 모바일게임도 모니터로 게임하시나요?, "
" 아니요 전 모바일로만 해요 휴대성과 접근성이좋잖아요 언제 어디선든ㅎ, "
" 돈독오른놈들은 폭삭망해봐야 정신차리지. 형평성 맞춰서 내놔라, "
" 뒷북방송ㅡㅡ, "
" 제발 빨리나와줘어어어 기다리다가 목빠지것어어어 ㅠㅅ ㅜ, "
" 도대체 언제 나오는고야 나 이번에 아이폰 xs 삿단말이애요, "
" 돈마블과 nc라   ㅋㅋ   안봐도  과금  오지겠네, "
" 그리운 말섬, "
" 이것만 기다리고 있는데 언제 나오는거지ㄷㄷ;; 폰도 바꿨는데ㅠㅠ 기다리다가 목 빠지겠넹ㅠ, "
" 저도...ㅠ 트라하는 구려서 못하겠음 ㅋ, "
" @2X4 tube 저도 잠깐 해봤는데 재미가 없네요ㄷㄷ;; 할만한게 없어서 할지 말지 고민중ㅠ, "
" 너무 과금유도 심한 한국 게임대기업 궁금하고 기대되지만 돈 없으면 포기해야하는 게임구조, "
" 아니요 돈있어도 현질하고싶지않은 게임이었어요ㅋㅋ, "
" 레볼루션은 넷마블입니다 넥슨이아니고, "
" 걸러라  nc는, "
" 여유돈 몇천없으면 손대지 마라이 유투버 얼마나 쓰는지 보자, "
" 저... 몇십도 잘안쓰는데..ㅠ, "
" 뒷북치는 리뷰, "
" 4월 이랬다가 연기됐다고 했으니 빨라봐야 가을출시 예상함, "
" 8월에 노트10이랑 런칭해서 나옵니다, "
" 아..그렇게 늦게 나오면 안되는데ㅠ, "
" 뭐야 그래서 언제나온다고 한참전에 상반기출시예정이다 그걸로 낚은거냐, "
" 4월에서 늦어도 6월이랬어요ㅎ, "
" 그러면 언제쯤에 리니지2m이 나옵니까 굼굼하네요 ㅠㅠㅠ 빨리 해보고싶은데 ㅠㅠㅠ, "
" 4월에서 6월중이라는것만  알아요ㅜㅜ, "
" 2X4 tube 비공개테스트해본 사람들 말로는  9~10월, "
" 피시버전 보다 글픽이 훨씬 좋은거 같네요, "
" 고화질로 올리느라 오래걸렸어요ㅎ, "
" 오우 재미있겠다, "
" 리니지2  7년간 해본 사람으로서 이만한 게임이 없어요ㅎ 전 무조건할거에요ㅋ, "
" 브레이브앵커 주세요 ㅠㅠ, "
" 저도 앵커 계속 모아야해요ㅋ, "
" 믿고거르는 엔씨 ㅋ, "
" ㅅㅂ 뭐만하면 믿거믿거래 씨발 좀 나오고 쳐까던가 그래도 그나마 겜답게 개발해서 내주는데 지랄해야겠냐 겜에 돈한푼 안쓰는 새끼들이 말음 젤많아요, "
" 아인하사드 시스템 폐지하라.., "
" 레볼은 pc린2느낌인데 이건 걍 다른 겜이네. 엔씨는 현질유도 극강이라 돈남아도는 사람이나 접근, "
" 이거 한 내년 쯤에 나올듯 합니다 . ㅋㅋㅋㅋㅋㅋ 2019년엔 지스타에서 보겟죠?, "
" 리니지m 접고 2로 넘어가야지 ㅎㅎ 어차피 현질 한푼도 안지르니까 그게 그거지만, "
